X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-90.833333333,30.016666667,1,8895,8650,CONVENT,US,30.016667,-90.833333,30,1,N,90,50,W,CP05,11352,S,RN,F, , , ,Y, , , , ,J,0,M, , , , ,Y,Y,Y,Y, ,Y, , ,Y, ,Y, , , ,Y,Y,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , 
-95.333333333,29.7500000000001,2,9235,8650,DEER PARK,US,29.75,-95.333333,29,45,N,95,20,W,CP05,11325,V,RN,G, , , ,Y,Y,G,K, ,L,0,L, ,Y, , ,Y,Y, , ,Y, ,Y, , , ,Y, ,Y,Y, , , , , , , ,Y, , , , , , , , , , ,Y, , , , , , , , , , , , ,S
-34.966666667,-8.39999999999998,3,12740,12700,PORTO DE SUAPE,BR,-8.4,-34.966667,8,24,S,34,58,W,124,24222,S,CB,G,Y,Y,N,Y,Y,G,G,K,G,2,L,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y, ,Y,Y,Y,Y,Y, , ,Y,Y, ,Y, , , , , , , ,Y, , , , , ,Y,Y,Y, , ,N,L,S
32.3666666670001,29.583333333,4,48055,47950,AIN SUKHNA TERMINAL,EG,29.583333,32.366667,29,35,N,32,22,E,172,62195/4,L,OR,F, , , ,Y, , ,A, ,A,2,L,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y, , ,Y, , ,Y, , , , , , , , , , , , ,Y,N,Y,Y, , ,N, , 
38.216666667,23.95,5,48121,48100,KING FAHD PORT,SA,23.95,38.216667,23,57,N,38,13,E,172,62172,V,CB,P,N,N,N,Y, ,G, ,F,A,1,M, ,Y,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y, ,Y, ,Y,Y,N, ,Y,Y,Y, , ,Y,Y, ,Y,Y, , , , ,Y, , , , ,Y,Y,Y,Y,Y,Y,Y, ,C, , 
42.6000000000001,15.1333333330001,6,48155,48143,RAS ISA MARINE TERMINAL,YE,15.133333,42.6,15,8,N,42,36,E,172,62292,L, , , , , ,Y,Y, ,A, ,J,3,M,Y,Y, , ,Y,Y,Y,Y,Y, ,Y, ,Y, ,Y,Y,Y,Y, , , ,Y,Y, , ,Y,N,N,N,Y, , , , , ,Y,N,N,N, ,N,N,N, ,Y,N, ,N, , 
113.866666667,22.466666667,7,57777,57740,SHEKOU,CN,22.466667,113.866667,22,28,N,113,52,E,161,93721,M,CN,G,Y,N,N,Y, ,H,H,F,J,1,M,Y,Y,Y,N,Y,Y,Y, , ,Y,Y,Y, ,Y,Y,Y,Y, ,Y,Y,Y, , , , ,Y,Y, , ,Y,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,C, ,S
107.716666667,-5.88333333299994,8,50340,50020,ARDJUNA OIL FIELD,ID,-5.883333,107.716667,5,53,S,107,43,E,163,71018,V,OR,P, , , ,Y, ,B,K, ,B,0,M, , ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y,Y,Y,Y,Y, , , ,N, , ,N, , , , , , , ,Y, , , , ,N,N,N,N, , ,N, , 
122.083333333,40.3000000000001,9,60230,59850,BAYUQUAN,CN,40.3,122.083333,40,18,N,122,5,E,157,94380,V,OR,F,Y, ,Y, , ,G,J,J,J,8,M, ,Y,N, ,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y, , ,Y,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , ,S
71.516666667,20.9166666670001,10,48730,48610,PIPAVAV BANDAR,IN,20.916667,71.516667,20,55,N,71,31,E,173,63080,S,CN,G,Y,N,N,Y,N,G,L,G,H,3,L,Y,Y,Y, ,Y,Y,Y,Y,Y, ,Y,Y, ,Y,Y,Y, ,Y,Y,Y,Y, , , , ,Y,Y, ,N,Y,Y, ,Y,Y,Y,Y,Y, , , , ,Y,Y,Y, , , ,N,L,L
